ticker,avg_price2013,avg_price2014,avg_price2015,avg_price2016,avg_price2017,avg_price2018,avg_price2019,current_price
hpq,8.374991015782433,12.745474168232509,12.023694064882067,11.580347095217023,17.077192876443444,21.598120366434653,19.127042032423475,17
hrb,21.504850913607886,24.942105497632706,27.573274392930287,21.00670103042845,22.725250054165663,23.84151242928676,24.078275226411364,14
hrl,17.65289370597355,21.560297474028573,27.16841730995784,34.819942353263734,31.799515165655738,36.22595375182619,41.11891051701137,50
hsic,38.89634294358511,46.90580458868118,56.28664812965999,64.22906951298789,65.22246677657047,59.99378166350711,64.33741368187799,67
hst,13.370665512387715,16.715671773940798,15.662518020660158,13.756002770529854,16.566169035862167,18.386708954890885,17.067218542099,10
hsy,76.22744304414779,84.45680233788869,83.86465121072436,88.03826895214263,100.92033164339712,95.75998991704083,131.37575646052284,145
hum,80.84227150205582,116.71287209647042,170.21084776378814,173.73703699263316,226.25587244527748,296.9345116482313,282.5902404785156,392
hwm,,,,,,,29.267265873570597,15
ibm,147.71074718899197,141.7484899853903,124.80126426333473,126.71704592023578,137.83825853811317,130.97343137824677,130.8532981267051,125
ice,32.016012994069904,37.24802945152162,43.7226381150503,49.25164470975361,60.895686829707536,72.45998279221979,84.14402516682942,96
idxx,47.80307544223846,64.18176582881382,72.44994046952989,94.53563493395609,154.00091653041156,209.77872488318212,249.16424584767176,359
iex,52.89473174867176,68.81525907062348,70.57692167494032,80.40193488105895,106.45872698172155,136.75894028257088,154.46431983463347,167
iff,68.64987221975176,85.76661978827582,102.09356665232825,113.76514401511541,127.4507349933761,129.69302112837713,128.0766248551626,126
ilmn,72.89821455213759,164.56559541490344,191.97404752458846,151.53579333471873,185.78569754186378,286.55952210445327,309.8039283146934,382
incy,28.976111094156902,57.11432543255034,102.6878175281343,83.54432541983468,121.37768961993821,72.87478092087217,81.98186512598916,99
info,,24.94094674727496,27.464469001406716,33.55795677124508,43.39788465765843,50.366897689393795,61.405864821539986,79
intc,18.909550212678454,25.79286467839801,28.13589177812849,30.10670130593436,35.171064847968964,46.8131679975654,50.277642371162536,50
intu,60.686204970829074,76.67285401480538,92.48137882777623,102.37512464371939,131.54177543366572,192.67179232289593,253.53352386232407,288
