,ticker,sector,industry,price,eps_ttm,pe_ttm,roa_ttm,roe_ttm,debt_equity_ratio_mrq,revenue_ttm,ma_200,ma_50,current_ratio_mrq,div_yield_ttm,div_yield_5y_avg,high_52,low_52,growth_est_f5y,growth_est_p5y,growth_est_f1y,predicted_intrinsic_value,predicted_premium_percent,size_filter,pe_filter,div_filter,strong_div_filter,div_above_5y_avg_filter,current_ratio_mrq_filter,roa_ttm_filter
0,anss,Technology,Software—Application,293.51,4.76,63.09,0.0725,0.1376,16.68,1500000000.0,267.04,292.28,2.4,,,310.05,186.81,0.071,0.15,0.16,121.48187138193028,141.60806601112165,True,False,False,False,False,True,False
0,antm,Healthcare,Healthcare Plans,270.49,18.47,14.29,0.0548,0.1549,72.91,109170000000.0,267.83,266.54,1.53,1.24,1.4,309.1,171.03,0.1477,0.1565,0.131,258.70816752017726,4.554101477644257,True,True,True,False,False,True,False
0,aon,Financial Services,Insurance Brokers,207.17,6.9,30.01,0.0575,0.41619999999999996,285.12,11090000000.0,195.51,194.41,1.01,0.85,1.04,238.19,143.93,0.0908,0.0791,0.10099999999999999,111.43760262560498,85.90672727950323,True,True,True,False,False,False,False
0,aos,Industrials,Specialty Industrial Machinery,51.31,2.01,26.24,0.0851,0.1975,24.2,2880000000.0,43.76,48.29,2.06,1.79,1.32,53.14,33.81,0.08,0.1491,0.26,24.475516131946566,109.63807146451892,True,True,True,False,True,True,False
0,apd,Basic Materials,Chemicals,291.52,8.56,34.45,0.06309999999999999,0.16579999999999998,71.45,8820000000.0,234.12,257.78,3.48,1.72,2.34,299.82,167.43,0.1033,0.048,0.168,185.09907950079457,57.49403010874972,True,True,True,False,False,True,False
0,aph,Technology,Electronic Components,104.39,3.59,29.57,0.0866,0.2459,78.46,8100000000.0,92.53,98.1,2.59,0.96,0.92,110.24,63.05,0.03,0.1284,0.195,16.718076088832966,524.413954364812,True,True,True,False,True,True,False
0,aptv,Consumer Cyclical,Auto Parts,82.25,9.06,9.22,0.0556,0.5305,128.57,14010000000.0,73.59,78.26,1.69,1.07,1.28,99.04,29.22,0.068,-0.0015,2.842,32.170206932885414,155.67134265437818,True,True,True,False,False,True,False
0,are,Real Estate,REIT—Office,168.55,2.12,80.17,0.015700000000000002,0.030899999999999997,69.62,1620000000.0,155.74,164.04,3.24,2.41,2.89,175.74,109.22,0.001,0.2335,0.386,0.8419412201526089,19919.21226394509,True,False,True,False,False,True,False
0,ato,Utilities,Utilities—Regulated Gas,103.0,4.62,22.22,0.0363,0.0943,75.5,2780000000.0,104.61,100.71,0.89,2.14,2.17,121.08,77.92,0.07150000000000001,0.08410000000000001,0.075,41.861132291252645,146.0516339676818,True,True,True,False,False,False,False
0,atvi,Communication Services,Electronic Gaming & Multimedia,79.99,2.02,40.39,0.0583,0.1268,20.54,6450000000.0,66.64,76.98,2.78,0.51,0.62,82.67,44.91,0.21170000000000003,0.1189,0.094,130.0437636023957,-38.48993770699636,True,True,True,False,False,True,False
0,avb,Real Estate,REIT—Residential,146.85,5.59,26.04,0.027200000000000002,0.0724,75.82,2370000000.0,175.35,156.87,1.68,4.19,3.08,229.4,118.17,0.0254,0.023799999999999998,0.009000000000000001,19.23143835047435,663.5934313585957,True,True,True,True,True,True,False
0,avgo,Technology,Semiconductors,305.79,5.57,56.14,0.031200000000000002,0.10880000000000001,194.04,22890000000.0,283.74,312.08,2.15,4.06,2.24,331.58,155.67,0.1305,0.3056,0.11699999999999999,261.73251721976993,16.833018399175902,True,False,True,True,True,True,False
0,avy,Industrials,Business Equipment & Supplies,120.41,6.88,16.83,0.0895,0.5401,240.35,7050000000.0,115.88,116.25,1.14,1.93,1.96,141.09,76.96,0.0789,0.1769,0.133,52.87847454915344,127.7108048721646,True,True,True,False,False,False,False
0,awk,Utilities,Utilities—Regulated Water,144.52,3.49,41.36,0.0342,0.1038,166.91,3640000000.0,128.18,131.9,0.65,1.38,1.88,145.97,92.0,0.083,0.0874,0.102,69.91392862517847,106.71131324174117,True,True,True,False,False,False,False
0,axp,Financial Services,Credit Services,95.33,4.86,19.7,0.021099999999999997,0.18469999999999998,242.86,34259999999.999996,102.2,98.04,1.63,1.8,1.52,138.13,67.0,0.11699999999999999,0.09949999999999999,1.5290000000000001,69.94602255366706,36.290808997547686,True,True,True,False,True,True,False
0,bac,Financial Services,Banks—Diversified,24.35,2.08,11.62,0.0079,0.0756,,76580000000.0,26.11,24.44,,2.96,1.64,35.72,17.95,0.0236,0.2345,0.335,2.9562674985052704,723.6737714808182,True,True,True,False,True,False,False
0,bax,Healthcare,Medical Instruments & Supplies,89.26,1.91,46.8,0.0719,0.1301,93.71,11530000000.0,86.75,85.84,2.74,0.99,1.48,95.19,69.1,0.0967,-0.0479,0.152,51.83705828452011,72.19341327217126,True,True,True,False,False,True,False
0,bby,Consumer Cyclical,Specialty Retail,96.99,5.41,18.11,0.0808,0.4243,155.51,43060000000.0,78.57,85.92,1.02,2.17,2.54,99.42,48.11,0.062,0.24230000000000002,0.13699999999999998,33.9932070374692,185.3217111674466,True,True,True,False,False,False,False
0,ben,Financial Services,Asset Management,20.6,1.96,10.74,0.0672,0.08710000000000001,9.18,5680000000.0,20.72,21.34,4.91,5.15,2.61,34.96,14.91,-0.0519,-0.042800000000000005,0.135,-4.868938059093931,-523.0902046807614,True,True,True,True,True,True,False
0,biib,Healthcare,Drug Manufacturers—General,272.33,34.04,8.41,0.18309999999999998,0.4938,69.43,14490000000.0,299.25,275.71,2.46,,,374.99,215.78,-0.022400000000000003,0.1689,-0.09300000000000001,-30.314070812944724,-998.3616937508424,True,True,False,False,False,True,True
0,bk,Financial Services,Asset Management,36.23,4.64,7.7,0.010700000000000001,0.10300000000000001,,16469999999.999998,38.61,38.04,,3.42,2.0,51.6,26.4,0.0304,0.1157,0.013000000000000001,5.706224314445126,534.9207112010108,True,True,True,False,True,False,False
0,bkr,Energy,Oil & Gas Equipment & Services,16.37,,0.0,0.0161,-0.6206,43.84,22390000000.0,16.23,15.8,1.47,,,25.99,9.12,0.024700000000000003,-0.33030000000000004,1.143,,,True,False,False,False,False,True,False
0,bll,Consumer Cyclical,Packaging & Containers,73.16,1.4,53.42,0.0452,0.1392,305.59,11470000000.0,69.33,70.95,1.06,0.82,0.79,82.82,51.26,0.1032,0.0783,0.16899999999999998,46.88847730609253,56.029805622401454,True,False,True,False,True,False,False
0,bmy,Healthcare,Drug Manufacturers—General,57.85,0.51,113.16,0.0582,0.03,95.1,31010000000.0,60.19,58.49,1.66,2.97,2.74,68.34,44.0,0.2195,0.2158,0.19699999999999998,96.84674145625144,-40.266446624709026,True,False,True,False,True,True,False
0,br,Technology,Information Technology Services,131.28,3.55,37.69,0.0832,0.3372,200.13,4380000000.0,116.31,126.45,1.08,1.6,1.7,134.3,81.9,0.1,0.2469,0.092,80.76862828939962,62.53835527528662,True,True,True,False,False,False,False
0,bsx,Healthcare,Medical Devices,38.6,3.04,12.62,0.0374,0.3722,76.82,10790000000.0,37.08,36.06,1.21,,,46.62,24.1,0.071,0.14550000000000002,0.74,15.519471647125018,148.71980746297285,True,True,False,False,False,True,False
0,bwa,Consumer Cyclical,Auto Parts,38.36,3.47,11.23,0.0732,0.165,40.09,9880000000.0,31.59,35.42,1.76,1.77,1.53,46.6,17.0,0.0274,0.0897,0.745,5.575985574980443,587.9501297873164,True,True,True,False,True,True,False
