,ticker,current_price,sector,industry,pe_ttm,roa_ttm,roe_ttm,debt_equity_ratio_mrq,current_ratio_mrq,div_yield_ttm,div_yield_5y_avg,revenue2019,revenue_ttm,revenue_5yr,revenue_3yr,ebitda2019,ebitda_5yr,ebitda_3yr,cfo2019,cfo_5yr,cfo_3yr,fcfe2019,fcfe_5yr,fcfe_3yr,fcfe_per_share2019,fcfe_per_share_5yr,fcfe_per_share_3yr,fcfe_yield2019,fcfe_yield_avg_5yr,fcfe_yield_avg_3yr,FCFE_IRR_based_5yr,FCFE_IRR_based_3yr,iv_3yr_discount,iv_5yr_discount
22,algn,308.0,Healthcare,Medical Devices,14.38,0.0527,0.8065000000000001,1.78,1.22,,,2406796000.0,2160000000.0,0.25874113458998305,0.30620235729202894,621483000.0,0.2406569338861373,0.3155816060217027,747270000.0,0.26919687204202836,0.4449785904560315,597563000.0,0.24125254402020424,0.4998762315280212,7.460212234706617,0.24794565099964938,0.5084645773738079,0.029928368594237892,0.025367767887449398,0.02080869070627708,0.08965086897997132,0.20838637441213437,-0.5983605363965927,0.05653867256482292
23,crm,190.0,,,0.0,,,,,,,13282000000.0,,0.26681270613525143,0.2582386057040542,1517000000.0,0.78655766036718,0.3328171570798928,3398000000.0,0.3115852392131524,0.26661634670893175,2672000000.0,0.3792860150740218,0.26969996254328965,3.447741935483871,0.3094170739772466,0.20451333123170468,0.02223277003763224,0.02310935820280608,0.023775024418592614,0.07408659987180855,0.02912629373599751,0.6626248745726118,0.11850495853907028
24,cbre,42.0,,,,,,,,,,23894091000.0,,0.21430888812318227,0.2226776614697663,1699099000.0,0.09951098379627177,0.12843823259210474,1223380000.0,0.13075768403601606,0.3952986887065526,929866000.0,0.13644793135882605,0.530947272745746,2.7307005760561673,0.1328096583317493,0.5284205698872471,0.05336401787987078,0.044625833836435924,0.05130561319679988,0.07940270614908362,0.2530140235668261,-0.8607862932473367,-0.390577078470696
25,ma,308.0,Financial Services,Credit Services,39.47,0.2232,1.4774,226.74,1.87,0.48,0.59,16883000000.0,17000000000.0,0.12251568108213151,0.16142413373378361,10186000000.0,0.13419772034925592,0.18416610185524052,8183000000.0,0.1915385111136625,0.22200675757867883,7261000000.0,0.1757230075646019,0.1936648490250512,7.104696673189824,0.20775192954781763,0.22365822809044,0.027913345025814953,0.035144386255809935,0.032102153411789444,0.03263346200396877,0.03925953004269944,0.21629505177295716,0.29193942934597894
26,antm,263.0,Healthcare,Healthcare Plans,14.29,0.0548,0.1549,72.91,1.53,1.24,1.4,104213000000.0,109170000000.0,0.07123792366412895,0.07085712951011414,147000000.0,0.06658026930000771,0.1222501075223612,6061000000.0,0.11261733595434453,0.23666511476647867,3861000000.0,0.2636923217077942,0.13783033650285503,14.835171624713958,0.28761031727048336,0.14923466819881703,0.054151649013321895,0.0359933004559983,0.02691196835694268,0.1812107869021118,0.11643080255915539,-0.34010224125541855,-0.6094193219107398
27,cme,167.0,Financial Services,Financial Data & Stock Exchanges,25.15,0.0178,0.0904,15.69,1.01,1.84,1.83,4868000000.0,5200000000.0,0.0935741653604425,0.1062962762539017,2746400000.0,0.07635698798039581,0.05604458548269897,2672800000.0,0.15659453557299718,0.15915980035996324,2427200000.0,0.15940296814067145,0.14327192004100553,6.775365049589799,0.14467968431614442,0.12239251624795311,0.03592792183484406,0.04638144523535644,0.040955504992598896,0.04836074336450524,0.039119651547720125,0.01609086667348847,-0.0664858741035741
28,ftnt,136.0,Technology,Software—Infrastructure,64.19,0.0727,0.4663000000000001,8.04,1.32,,,2156200000.0,2260000000.0,0.22856634000230147,0.19124674810477527,405800000.0,0.3790777818883617,0.6431065062658301,808000000.0,0.3267024230222766,0.32705326136474433,715800000.0,0.3421031683368809,0.3697090326700634,4.090285714285714,0.333226814434894,0.37319062638096145,0.048526781937078274,0.05084171843128403,0.05584750361220028,0.07337468261324509,0.08953106028682001,-0.4683315254420358,-0.38280477395071943
29,dlr,151.0,,,,,,,,,,3209241000.0,,0.14701383447963456,0.1442143123783386,1757989000.0,0.17136450757536825,0.13679530956608188,1513817000.0,0.18208508750011987,0.18388794747450676,1513817000.0,0.18208508750011987,0.18388794747450676,6.930724423935098,0.07583789012534514,0.05162856957786932,0.06043408081880951,0.07095729976787182,0.0597778376375658,0.011711744334333307,0.002455633277932412,0.1749659040427598,0.0719315811717145
30,expe,84.0,,,,,,,,,,12067000000.0,,0.15926528044714683,0.11208113604967829,1615000000.0,0.15562712199498852,0.19820464892532508,2767000000.0,0.15146497991800412,0.20934896019255778,1607000000.0,0.09122888521533445,0.25394574836129347,10.721624723119213,0.06572406809439624,0.26673364041287284,0.08761688563486796,0.052857914448063106,0.05794256648970344,0.11808884006242071,0.20695851788769848,-0.813248834238453,-0.5994571833681063
31,fb,233.0,Communication Services,Internet Content & Information,32.04,0.134,0.21850000000000006,10.27,4.6,,,70697000000.0,73360000000.0,0.41492940608794715,0.36757513010422604,29727000000.0,0.366580023017258,0.26257311570785347,36314000000.0,0.46091190137630833,0.31119028176555674,21212000000.0,0.44363008509450186,0.22223249732687944,7.375521557719054,0.4216902724769924,0.2291340365840877,0.04062676200430439,0.03330267746072766,0.03635261273031975,0.14867857589430966,0.06579263896522236,-0.1318728381718085,-0.577926343497859
32,ldos,90.0,Technology,Information Technology Services,21.95,0.0557,0.1791,144.74,0.67,1.47,2.15,11094000000.0,11410000000.0,0.14027227988415625,0.1635103387396053,1146000000.0,0.36369004080595513,0.28584226770805454,992000000.0,0.390258826394545,0.30531110232486225,887000000.0,0.7703970968338012,0.8372550136991492,6.117241379310345,0.5931562069813285,0.643711511487538,0.08129269652156414,0.05403711479586737,0.05938040312747156,0.2752766467097556,0.2981291377197115,-0.9116487996901376,-0.8943812708925427
33,acn,223.0,Technology,Information Technology Services,29.22,0.1293,0.3282,21.31,1.37,1.45,1.74,43215013000.0,44550000000.0,0.06276628470155954,0.0748760731280631,7197834000.0,0.07900930895553993,0.09120590451745136,6626953000.0,0.13709089927745066,0.13144104143060442,6027944000.0,0.13717966833902762,0.138673358714148,9.26629824918355,0.13726722653100998,0.14864765463510943,0.05195444511353697,0.056101466089527485,0.05356694502900824,0.03144296051940909,0.03597198617984998,-0.10219576888051751,-0.06248248769427034
34,abbv,97.0,Healthcare,Drug Manufacturers—General,17.2,0.118,,,3.14,4.63,3.96,33266000000.0,34060000000.000008,0.10756190406904498,0.09069094962631552,13447000000.0,0.28796960946224304,0.1108676595325575,13324000000.0,0.3028839224521729,0.2368703909995833,11236000000.0,0.3078006738572858,1.7301128253527946,7.571428571428571,0.32929065553760695,1.8174264095640265,0.104737186134797,0.05823899224177518,0.08241144810363893,0.1531360195025273,0.8246232211708058,-0.9977568908731889,-0.7586577277890574
35,zts,146.0,Healthcare,Drug Manufacturers—Specialty & Generic,43.99,0.1248,0.6355,242.97,2.77,0.48,0.63,6260000000.0,6340000000.0,0.05520897938970459,0.0859524194043868,412000000.0,0.15094192357211633,0.19734921895869806,1795000000.0,0.23451969803834993,0.36033208606846556,1335000000.0,0.24020641612065408,0.9253872802714675,2.7709340434673413,0.250454884471478,0.9470379906238187,0.025292367690422164,0.020209455627341756,0.024399470231519022,0.05134492678207336,0.3594492498351838,-0.8862833450763994,0.3356424650759673
36,anet,245.0,Technology,Computer Hardware,24.85,0.1298,0.3038,2.76,5.82,,,2410706000.0,2340000000.0,0.3277934326963814,0.2876101088355072,838623000.0,0.4398050837715899,0.4715215242957258,963034000.0,0.5309291417263442,0.9421191002642126,947283000.0,0.5635212127095632,1.0494479124606633,11.712348075520222,0.4453041246504317,0.9826235608652818,0.04737775818151751,0.035042234502224726,0.03977049541636255,0.19984489784447002,0.44775164429100145,-0.959744766227705,-0.7437820089893896
